Original:
1K=1000 =1e3
1M=1000K =1e6
1B =1e9
1T =1e12
1q =1e15
1Q =1e18
1s =1e21
1S =1e24
1O =1e27
1N =1e30
1d =1e33
1U =1e36
1D =1e39
1! =1e42
1@ =1e45
1# =1e48
1$ =1e51
1% =1e54
1^ =1e57
1& =1e60
1* =1e63

Custom:

1[ =1e66
1} =1e69
1’ =1e72
1” =1e75
1/ =1e78
1| =1e81
1: =1e84
1; =1e87
1< =1e90
1> =1e93
1, =1e96
1. =1e99
1\ =1e102
1? =1e105
1~ =1e108
1± =1e111
1a =1e114
1A =1e117
1á =1e120
1Á =1e123
1é =1e126
1É =1e129
1í =1e132
1Í =1e135
1ú =1e138
1Ú =1e141
1æ =1e144
1Æ =1e147
1Ø =1e150
1¿ =1e153
1¶ =1e156
1ƒ =1e159
1£ =1e162
1₣ =1e165
1₿ =1e168
1€ =1e171
1₲ =1e174
1h =1e177
1H =1e180
1j =1e183
1J =1e186
1p =1e189
1P =1e192
1w =1e195
1₩ =1e198
1v =1e201
1V =1e204
1y =1e207
1¥ =1e210
1¤ =1e213
1∑ =1e216
1® =1e219
1† =1e222
1¨ =1e225
1ı =1e228
1π =1e231
1ß =1e234
1∂ =1e237
1© =1e240
1λ =1e243
1Ω =1e246
1≈ =1e249
1ç =1e252
1√ =1e255
1∫ =1e258
1™ =1e261
1‡ =1e264
1İ =1e267
1∏ =1e270
1∆ =1e273
1Ç =1e276
1◊ =1e279
1« =1e282
1» =1e285
1∧ =1e288
1∩ =1e291
1⊻ =1e294
1ñ =1e297
1Ñ =1e300
1C =1e303
1Γ =1e306
1∞ =1e309
1α =1e312
1γ =1e315
1δ =1e318
1ε =1e321
1ζ =1e324l
1θ =1e327
1λ =1e330
1ξ =1e333
1τ =1e336
1υ =1e339
1φ =1e342
1χ =1e345
1ψ =1e348
1Ξ =1e351
1Φ =1e354



!@#$%^&*
